group,mpg
US,18
US,15
US,18
US,16
US,17
US,15
US,14
US,14
US,14
US,15
Europe,0
US,0
US,0
US,0
US,0
US,15
US,14
US,0
US,15
US,14
Japan,24
US,22
US,18
US,21
Japan,27
Europe,26
Europe,25
Europe,24
Europe,25
Europe,26
US,21
US,10
US,10
US,11
US,9
Japan,27
US,28
Japan,25
US,25
Europe,0
US,19
US,16
US,17
US,19
US,18
US,14
US,14
US,14
US,14
US,12
US,13
US,13
US,18
US,22
US,19
US,18
US,23
Europe,28
Europe,30
Europe,30
Japan,31
Japan,35
Europe,27
US,26
Japan,24
US,25
Europe,23
US,20
US,21
US,13
US,14
US,15
US,14
US,17
US,11
US,13
US,12
US,13
Japan,19
US,15
US,13
US,13
US,14
Europe,18
Europe,22
Europe,21
Europe,26
US,22
Japan,28
Japan,23
US,28
Japan,27
US,13
US,14
US,13
US,14
US,15
US,12
US,13
US,13
US,14
US,13
US,12
US,13
US,18
US,16
US,18
US,18
US,23
Europe,26
US,11
US,12
US,13
US,12
US,18
Japan,20
US,21
Japan,22
Japan,18
US,19
US,21
Europe,26
US,15
US,16
Europe,29
Europe,24
Europe,20
Europe,19
US,15
Europe,24
Japan,20
US,11
US,20
US,21
US,19
US,15
Japan,31
US,26
Japan,32
US,25
US,16
US,16
US,18
US,16
US,13
US,14
US,14
US,14
Europe,29
Europe,26
Europe,26
Japan,31
Japan,32
US,28
Europe,24
Europe,26
Japan,24
Japan,26
Europe,31
US,19
US,18
US,15
US,15
US,16
US,15
US,16
US,14
US,17
US,16
US,15
US,18
US,21
US,20
US,13
Japan,29
US,23
US,20
US,23
Japan,24
Europe,25
Japan,24
US,18
Europe,29
US,19
Europe,23
Europe,23
Europe,22
Europe,25
Japan,33
Europe,28
Europe,25
US,25
US,26
Europe,27
US,17.5
US,16
US,15.5
US,14.5
US,22
US,22
US,24
US,22.5
US,29
US,24.5
Europe,29
Japan,33
US,20
US,18
US,18.5
US,17.5
Europe,29.5
Japan,32
Japan,28
US,26.5
Europe,20
US,13
Europe,19
Japan,19
Europe,16.5
US,16.5
US,13
US,13
US,13
Japan,31.5
US,30
Europe,36
US,25.5
Japan,33.5
US,17.5
US,17
US,15.5
US,15
US,17.5
US,20.5
US,19
US,18.5
US,16
US,15.5
US,15.5
US,16
Europe,29
US,24.5
Japan,26
US,25.5
US,30.5
US,33.5
Japan,30
Europe,30.5
Japan,22
Europe,21.5
Japan,21.5
Europe,43.1
US,36.1
Japan,32.8
Japan,39.4
Japan,36.1
US,19.9
US,19.4
US,20.2
US,19.2
US,20.5
US,20.2
US,25.1
US,20.5
US,19.4
US,20.6
US,20.8
US,18.6
US,18.1
US,19.2
US,17.7
US,18.1
US,17.5
US,30
Japan,27.5
Japan,27.2
US,30.9
Japan,21.1
US,23.2
US,23.8
Japan,23.9
Europe,20.3
Europe,17
Europe,21.6
Europe,16.2
Europe,31.5
Japan,29.5
US,21.5
US,19.8
US,22.3
US,20.2
US,20.6
US,17
US,17.6
US,16.5
US,18.2
US,16.9
US,15.5
US,19.2
US,18.5
Europe,31.9
Japan,34.1
US,35.7
US,27.4
Europe,25.4
US,23
Europe,27.2
US,23.9
US,34.2
US,34.5
Japan,31.8
Europe,37.3
US,28.4
US,28.8
US,26.8
US,33.5
Europe,41.5
Japan,38.1
US,32.1
Japan,37.2
US,28
US,26.4
US,24.3
US,19.1
Europe,34.3
Japan,29.8
Japan,31.3
Japan,37
Japan,32.2
Japan,46.6
US,27.9
Japan,40.8
Europe,44.3
Europe,43.4
Europe,36.4
Europe,30
Japan,44.6
Europe,40.9
Japan,33.8
Europe,29.8
Japan,32.7
Japan,23.7
Europe,35
US,23.6
Japan,32.4
US,27.2
US,26.6
US,25.8
US,23.5
US,30
Japan,39.1
US,39
Japan,35.1
Japan,32.3
Japan,37
Japan,37.7
Japan,34.1
US,34.7
US,34.4
US,29.9
Europe,33
Europe,34.5
Japan,33.7
Japan,32.4
Japan,32.9
Japan,31.6
Europe,28.1
Europe,0
Europe,30.7
Japan,25.4
Japan,24.2
US,22.4
US,26.6
US,20.2
US,17.6
US,28
US,27
US,34
US,31
US,29
US,27
US,24
US,23
Europe,36
Japan,37
Japan,31
US,38
US,36
Japan,36
Japan,36
Japan,34
Japan,38
Japan,32
Japan,38
US,25
US,38
US,26
US,22
Japan,32
US,36
US,27
US,27
Europe,44
US,32
US,28
US,31